title,industry,era,genre,star,tier,moment,notes
Sholay,BW,70s,action,Amitabh,1,I_KNEW_IT,canonical blockbuster — hole-in-one for any deck
Deewaar,BW,70s,drama,Amitabh,1,I_KNEW_IT,"mere paas maa hai" line is meme-tier
Don (1978),BW,70s,thriller,Amitabh,1,ARGUMENT,"argument vs Don 2006 remake — pick one"
Zanjeer,BW,70s,action,Amitabh,1,GENERATIONAL_BRIDGE,angry-young-man origin
Amar Akbar Anthony,BW,70s,drama,Amitabh,1,GENERATIONAL_BRIDGE,three-brother trope
Mughal-e-Azam,BW,60s,drama,Dilip-Kumar,1,GENERATIONAL_BRIDGE,colorized re-release brought it to younger crowds
Guide,BW,60s,drama,Dev-Anand,2,FLEX,critical darling but weaker recognition
Pyaasa,BW,50s,drama,Guru-Dutt,3,FLEX,deep cut
Kaagaz Ke Phool,BW,50s,drama,Guru-Dutt,3,FLEX,cinephile bait
Andaz Apna Apna,BW,90s,comedy,Aamir,1,I_KNEW_IT,meme economy is through the roof
Jaane Bhi Do Yaaro,BW,80s,comedy,Naseeruddin,2,FLEX,cult
Hera Pheri,BW,2000s,comedy,Akshay,1,I_KNEW_IT,every line memed
Phir Hera Pheri,BW,2000s,comedy,Akshay,1,I_KNEW_IT,but same deck needs only one
Golmaal,BW,2000s,comedy,Ajay,1,ARGUMENT,4+ films in series — pick the best one
Munna Bhai MBBS,BW,2000s,comedy,Sanjay,1,I_KNEW_IT,Jadoo ki jhappi
Lage Raho Munna Bhai,BW,2000s,comedy,Sanjay,1,GENERATIONAL_BRIDGE,Gandhigiri became a word
3 Idiots,BW,2000s,comedy,Aamir,1,I_KNEW_IT,all izz well
PK,BW,2010s,comedy,Aamir,1,I_KNEW_IT,alien-on-earth
Dangal,BW,2010s,drama,Aamir,1,I_KNEW_IT,wrestling sisters
Lagaan,BW,2000s,drama,Aamir,1,I_KNEW_IT,cricket vs empire
Rang De Basanti,BW,2000s,drama,Aamir,1,GENERATIONAL_BRIDGE,sparked real activism
Taare Zameen Par,BW,2000s,drama,Aamir,1,GENERATIONAL_BRIDGE,dyslexia awareness
DDLJ,BW,90s,romance,SRK,1,I_KNEW_IT,Maratha Mandir eternal show
Kuch Kuch Hota Hai,BW,90s,romance,SRK,1,I_KNEW_IT,friendship triangle
Kabhi Khushi Kabhie Gham,BW,2000s,drama,SRK,1,GENERATIONAL_BRIDGE,every NRI household
Kal Ho Naa Ho,BW,2000s,romance,SRK,1,I_KNEW_IT,titular song
My Name Is Khan,BW,2010s,drama,SRK,1,ARGUMENT,post-9/11 reception
Chak De India,BW,2000s,sports,SRK,1,I_KNEW_IT,hockey underdogs
Swades,BW,2000s,drama,SRK,2,GENERATIONAL_BRIDGE,"underrated; SRK's favorite of his own"
Om Shanti Om,BW,2000s,romance,SRK,1,ARGUMENT,reincarnation trope
Dilwale,BW,2010s,romance,SRK,2,ARGUMENT,weaker SRK outing
Baazigar,BW,90s,thriller,SRK,2,FLEX,SRK-as-villain turn
Darr,BW,90s,thriller,SRK,2,FLEX,stalker-as-protagonist (aged badly)
Dil Chahta Hai,BW,2000s,drama,Aamir,1,I_KNEW_IT,Goa trip genre-defined
Zindagi Na Milegi Dobara,BW,2010s,drama,Hrithik,1,I_KNEW_IT,Spain trip
Rock On,BW,2000s,music,Farhan,2,ARGUMENT,rock music earnestness
Wake Up Sid,BW,2000s,drama,Ranbir,2,GENERATIONAL_BRIDGE,late-bloomer story
Yeh Jawaani Hai Deewani,BW,2010s,romance,Ranbir,1,I_KNEW_IT,Manali trip
Rockstar,BW,2010s,drama,Ranbir,2,FLEX,cult following
Barfi,BW,2010s,romance,Ranbir,2,ARGUMENT,plagiarism charges
Tamasha,BW,2010s,drama,Ranbir,2,FLEX,underrated by box office
Queen,BW,2010s,drama,Kangana,1,I_KNEW_IT,solo honeymoon
Pink,BW,2010s,drama,Amitabh,1,ARGUMENT,"no means no" message
Andhadhun,BW,2010s,thriller,Ayushmann,1,I_KNEW_IT,blind pianist
Article 15,BW,2010s,drama,Ayushmann,2,FLEX,caste brutality
Stree,BW,2010s,comedy,Rajkummar,1,I_KNEW_IT,horror-comedy
Bareilly Ki Barfi,BW,2010s,romance,Ayushmann,2,GENERATIONAL_BRIDGE,small-town texture
Masaan,BW,2010s,drama,Richa,2,FLEX,Varanasi funeral ghats
Gully Boy,BW,2010s,music,Ranveer,1,I_KNEW_IT,apna time aayega
Bajirao Mastani,BW,2010s,drama,Ranveer,1,GENERATIONAL_BRIDGE,period epic
Padmaavat,BW,2010s,drama,Ranveer,1,ARGUMENT,controversy
Ram Leela,BW,2010s,romance,Ranveer,2,GENERATIONAL_BRIDGE,Gujarati Romeo-Juliet
Bajrangi Bhaijaan,BW,2010s,drama,Salman,1,I_KNEW_IT,mute-girl-home
Sultan,BW,2010s,sports,Salman,1,ARGUMENT,wrestling overlap with Dangal
Dabangg,BW,2010s,action,Salman,1,I_KNEW_IT,Chulbul Pandey
Kick,BW,2010s,action,Salman,2,GENERATIONAL_BRIDGE,masala
Wanted,BW,2000s,action,Salman,2,FLEX,Salman comeback
Wake Up Sid,BW,2000s,drama,Ranbir,2,GENERATIONAL_BRIDGE,duplicate check
Bhaag Milkha Bhaag,BW,2010s,sports,Farhan,1,I_KNEW_IT,Flying Sikh biopic
MS Dhoni Untold Story,BW,2010s,sports,Sushant,1,GENERATIONAL_BRIDGE,cricket biopic
Mary Kom,BW,2010s,sports,Priyanka,1,I_KNEW_IT,boxer biopic
Neerja,BW,2010s,drama,Sonam,2,GENERATIONAL_BRIDGE,Pan Am hijack
Raazi,BW,2010s,thriller,Alia,1,GENERATIONAL_BRIDGE,RAW spy
Gangs of Wasseypur,BW,2010s,action,Manoj-Bajpayee,1,FLEX,cult epic
Udaan,BW,2010s,drama,Rajat,2,FLEX,coming-of-age
Paan Singh Tomar,BW,2010s,sports,Irrfan,2,FLEX,athlete-turned-bandit
Haider,BW,2010s,drama,Shahid,2,FLEX,Kashmir Hamlet
Vishal-Bhardwaj-Maqbool,BW,2000s,drama,Irrfan,3,FLEX,Macbeth Mumbai
Omkara,BW,2000s,drama,Ajay,2,FLEX,Othello UP
Drishyam,BW,2010s,thriller,Ajay,1,I_KNEW_IT,Malayalam remake
Special 26,BW,2010s,thriller,Akshay,2,FLEX,heist caper
Badlapur,BW,2010s,thriller,Varun,2,FLEX,revenge slow-burn
Kahaani,BW,2010s,thriller,Vidya,1,I_KNEW_IT,pregnant Kolkata
Baazaar,BW,2010s,thriller,Saif,3,FLEX,stock market
Chashme Baddoor (1981),BW,80s,comedy,Farooq,2,GENERATIONAL_BRIDGE,nostalgia-grade
Chupke Chupke,BW,70s,comedy,Dharmendra,2,GENERATIONAL_BRIDGE,Hrishikesh Mukherjee
Anand,BW,70s,drama,Rajesh-Khanna,1,GENERATIONAL_BRIDGE,Babumoshai...
Namak Halaal,BW,80s,comedy,Amitabh,2,GENERATIONAL_BRIDGE,English English monologue
Satte Pe Satta,BW,80s,comedy,Amitabh,2,GENERATIONAL_BRIDGE,seven-brother chaos
Naseeb,BW,80s,drama,Amitabh,3,FLEX,John Jani Janardhan song
Don 2,BW,2010s,thriller,SRK,2,ARGUMENT,sequel to Don
Krrish,BW,2000s,action,Hrithik,1,GENERATIONAL_BRIDGE,Indian superhero
Koi Mil Gaya,BW,2000s,sci-fi,Hrithik,1,GENERATIONAL_BRIDGE,Jadoo
War,BW,2010s,action,Hrithik,1,ARGUMENT,YRF spy-universe
Pathan,BW,2020s,action,SRK,1,ARGUMENT,YRF spy-universe
Tiger Zinda Hai,BW,2010s,action,Salman,1,ARGUMENT,YRF spy-universe
Ek Tha Tiger,BW,2010s,action,Salman,1,ARGUMENT,YRF spy-universe
Mission Mangal,BW,2010s,drama,Akshay,2,GENERATIONAL_BRIDGE,ISRO biopic
Raid,BW,2010s,thriller,Ajay,2,FLEX,tax raid
Uri,BW,2010s,action,Vicky,1,I_KNEW_IT,"how's the josh"
Shershaah,BW,2020s,drama,Sidharth,2,GENERATIONAL_BRIDGE,Kargil biopic
83,BW,2020s,sports,Ranveer,1,GENERATIONAL_BRIDGE,1983 World Cup
Luka Chuppi,BW,2010s,romance,Kartik,2,ARGUMENT,live-in comedy
Pyaar Ka Punchnama,BW,2010s,comedy,Kartik,2,ARGUMENT,monologue meme
Sonu Ke Titu Ki Sweety,BW,2010s,comedy,Kartik,2,FLEX,Kartik monologue
Badhaai Ho,BW,2010s,comedy,Ayushmann,1,I_KNEW_IT,late parents pregnant
Vicky Donor,BW,2010s,comedy,Ayushmann,1,GENERATIONAL_BRIDGE,sperm donation
Dum Laga Ke Haisha,BW,2010s,romance,Ayushmann,2,FLEX,90s-Haridwar love
Shubh Mangal Saavdhan,BW,2010s,comedy,Ayushmann,2,GENERATIONAL_BRIDGE,ED taboo
Dream Girl,BW,2010s,comedy,Ayushmann,1,ARGUMENT,Pooja bolo
Chhichhore,BW,2010s,drama,Sushant,1,I_KNEW_IT,hostel nostalgia
Dhoom 2,BW,2000s,action,Hrithik,1,GENERATIONAL_BRIDGE,Dhoom trilogy
Dhoom 3,BW,2010s,action,Aamir,2,ARGUMENT,Dhoom trilogy
Race,BW,2000s,thriller,Saif,2,ARGUMENT,multiple sequels
Agneepath (1990),BW,90s,action,Amitabh,2,ARGUMENT,vs 2012 remake
Agneepath (2012),BW,2010s,action,Hrithik,1,ARGUMENT,vs 1990 original
Saathiya,BW,2000s,romance,Vivek,2,GENERATIONAL_BRIDGE,hit songs
Jab We Met,BW,2000s,romance,Shahid,1,I_KNEW_IT,Geet trope
